label,T0: political-british-kill-army-guerrilla,T1: school-child-home-student-business,T2: israel-iran-arab-meet-meeting,T3: iraq-military-iraqi-force-kill,T4: kill-attack-bomb-building-bombing,T5: french-russia-soviet-france-russian,T6: judge-lawyer-trial-prosecutor-rule,T7: agency-plan-security-intelligence-program,T8: israel-israeli-palestinian-palestinians-hamas,T9: pakistan-attack-afghanistan-taliban-india,T10: bush-iraq-war-campaign-vote,T11: war-right-mean-problem-policy
1851-1900,0.24288107202680068,0.23450586264656617,0.0,0.0,0.005025125628140704,0.0033500837520938024,0.01507537688442211,0.0,0.0,0.0,0.008375209380234505,0.490787269681742
1901-1930,0.45719329214474846,0.10238305383936452,0.0,0.00088261253309797,0.02383053839364519,0.05472197705207414,0.037069726390114736,0.0,0.0,0.0,0.00264783759929391,0.3212709620476611
1931-1950,0.6061462380784175,0.06322854115153656,0.026845637583892617,0.0010596962204168139,0.0282585658777817,0.07241257506181561,0.034263511126810316,0.0031790886612504416,0.00282585658777817,0.0010596962204168139,0.0031790886612504416,0.157541504768633
1951-1960,0.6338870431893687,0.04318936877076412,0.013289036544850499,0.0053156146179402,0.029900332225913623,0.13023255813953488,0.026578073089700997,0.0026578073089701,0.007308970099667774,0.0026578073089701,0.00132890365448505,0.10365448504983389
1961-1980,0.48856275303643726,0.09564777327935223,0.06184210526315789,0.007186234817813765,0.07317813765182186,0.03836032388663967,0.02925101214574899,0.04554655870445344,0.04382591093117409,0.002631578947368421,0.00465587044534413,0.10931174089068826
1981-20010910,0.09148395484900419,0.12191950830329176,0.14047633118610012,0.03043555345428757,0.13113882158264878,0.06234856095975415,0.1051947284439454,0.12617457597068732,0.07511376396194078,0.0454464866142663,0.04178240056734236,0.02848531410673128
20010911-2019,0.012803391011496922,0.12205318778306817,0.05580072000929044,0.0798397398676112,0.07673324817094414,0.034839159214957616,0.10492393450238068,0.16110207873649982,0.06572988038555336,0.14954709093020555,0.11862733712693067,0.018000232261061434
