Period,Precision,Recall,F1-Score,Support
1851-1900,0.715,0.824,0.766,119
1901-1930,0.636,0.571,0.602,119
1931-1950,0.661,0.617,0.638,120
1951-1960,0.564,0.782,0.655,119
1961-1980,0.753,0.588,0.66,119
1981-20010910,0.812,0.575,0.673,120
20010911-2019,0.745,0.85,0.794,120
