Word2Vec Robustness Check: Unified min_count=5
Original: variable min_count (3/5/20 by corpus size)
======================================================================

1951-1960 | terrorist | CBOW                        Overlap: 17/25  Jaccard: 0.52  Dropped: ['assassination', 'bed', 'capture', 'clash', 'coincide', 'guerrilla_activity', 'headquarter', 'sweep']  New: ['launch', 'mass', 'minor', 'repression', 'sabotage', 'spread', 'violence', 'wipe']
1951-1960 | terrorist | SkipGram                    Overlap: 14/25  Jaccard: 0.39  Dropped: ['acting', 'civilian_wound', 'death_toll', 'end_sight', 'instigator', 'late_night', 'north_africans', 'revenge', 'rounded', 'throw_bomb', 'wound_seriously']  New: ['armed_gang', 'exterminate', 'historical_mau_mau', 'historical_slain', 'hold_responsible', 'loot', 'outburst', 'rout', 'shoot_dead', 'terrorists', 'throw_grenade']
1961-1980 | terrorism | CBOW                        Overlap: 15/25  Jaccard: 0.43  Dropped: ['aden', 'assail', 'clashes', 'israeli', 'jonathan_special', 'leftist_rightist', 'lima_peru', 'outbreak_violence', 'rancor', 'tension_rise']  New: ['bernard_proquest_historical', 'feud', 'historical_comb', 'jonathan_special_times', 'juan_special_times_dig', 'peril', 'robert_times_rep', 'soup', 'special_dig_proquest', 'terror']
1961-1980 | terrorism | SkipGram                    Overlap:  9/25  Jaccard: 0.22  Dropped: ['basque', 'bombing', 'british_aden', 'campus', 'committee_colonialism', 'curfew_impose', 'guerrilla_incursion', 'increase_frequency', 'leftist_rightist', 'oran', 'pretoria_south_africa', 'rancor', 'strife', 'suspend_constitutional_guarantee', 'terrorist', 'violence']  New: ['annex_territory', 'arabs', 'buenos_air_dig', 'cape_town', 'charle_proquest_historical', 'clashes', 'historical_caracas', 'historical_comb', 'israeli_jet', 'james_times_proquest', 'johannesburg_south', 'proquest_historical_kill', 'robert_times_rep', 'roe_historical_times', 'special_oran', 'stir_unrest']
1961-1980 | terrorist | CBOW                        Overlap: 18/25  Jaccard: 0.56  Dropped: ['criminal_act', 'euer_villa', 'gang', 'hold_responsible', 'lunatic', 'militant_group', 'wave_violence']  New: ['counterterror', 'japanese_red_army', 'oil_installation', 'oppressive_measure', 'publicize', 'red_army_traction', 'sabotage']
1961-1980 | terrorist | SkipGram                    Overlap: 14/25  Jaccard: 0.39  Dropped: ['amsterdam_netherlands', 'concerned_possibility', 'criminal_gang', 'employer_industry_federation', 'extremist', 'gang_anarchist', 'indonesian_consulate_amsterdam', 'mount_wave', 'random_coming', 'responsibility_abduction', 'telephone_caller']  New: ['axe', 'banker_onto', 'gang_undress', 'guerrillas_guerrillas', 'leftwe_terrorist', 'outrage_commit', 'red_army_traction', 'team_olympics', 'terrorist_activity', 'urban_guerrillas', 'yugoslavia']
1981-20010910 | terrorism | CBOW                    Overlap: 19/25  Jaccard: 0.61  Dropped: ['create_atmosphere', 'drug_traffic', 'indiscriminate_violence', 'mass_murder', 'terror_attack', 'violent_activity']  New: ['abhorrent', 'apprehension_prosecution', 'crime', 'jury_tamper', 'subversion_terrorism', 'tough_measure']
1981-20010910 | terrorism | SkipGram                Overlap:  9/25  Jaccard: 0.22  Dropped: ['abhorrent', 'attempt_undermine', 'definitively', 'drug_traffic', 'global_terrorism', 'harbor_terrorist', 'indicative', 'indiscriminate_violence', 'international_cooperation', 'narcotic_traffic', 'publicly_condemn', 'retaliatory_action', 'scourge_terrorism', 'subversion', 'turn_blind_eye', 'undermine_effort']  New: ['aircraft_hijacking', 'anxious_avoid', 'apprehend_prosecute', 'counteraction', 'environmental_degradation', 'eradicate_terrorism', 'express_determination', 'international_drug_trafficking', 'mad_dog_middle_east', 'match_deed', 'politically_inspire', 'presence_saudi_arabia', 'spectacular_act', 'strongly_reaffirm', 'subversion_terrorism', 'unequivocally_firmly']
1981-20010910 | terrorist | CBOW                    Overlap: 20/25  Jaccard: 0.67  Dropped: ['deadly_attack', 'saudi_exile', 'tie_bin_laden', 'weapon_explosive', 'west_berlin_discotheque']  New: ['militant', 'mohammed_rashid', 'sikh_riot', 'suicide_bomber', 'terror_attack']
1981-20010910 | terrorist | SkipGram                Overlap:  3/25  Jaccard: 0.06  Dropped: ['act_terrorism', 'airplane_hijacking', 'airport_rome_vienna', 'american_authorities', 'armenian_secret', 'attack', 'deadly_attack', 'evidence_connect', 'extremist', 'extremist_group', 'gun_explosive', 'hijacking_airliner', 'japanese_red_army', 'militant_group', 'suicide_bomb', 'terror', 'terrorism', 'terrorism_suspect', 'terrorist_activity', 'terrorist_cell', 'threat_seriously', 'urban_guerrilla']  New: ['americans_american_installations', 'apprehend_prosecute', 'arresting', 'assassination_kidnapping', 'attack_american_targets', 'barbarous_act', 'club_naple', 'commando_team', 'convict_planting', 'describe_mastermind', 'georges_chairman_renault', 'horrible_massacre', 'killing_kidnapping', 'mohammed_rashid', 'purport_role', 'red_brigade_italy', 'stage_spectacular', 'string_killing', 'tamil_riot', 'vienna_austrian', 'west_germany_red_brigades', 'widespread_revulsion']
20010911-2019 | terrorism | CBOW                    Overlap: 22/25  Jaccard: 0.79  Dropped: ['antiterrorism', 'spread_nuclear_weapon', 'violent_extremist']  New: ['anti_terrorism', 'criminal_act', 'vestige_cold']
20010911-2019 | terrorism | SkipGram                Overlap:  6/25  Jaccard: 0.14  Dropped: ['act_terrorism', 'antiterrorism', 'combat_terrorism', 'crime_crime_humanity', 'destabilize_middle_east', 'eradicate_terrorism', 'global_war_terror', 'iraq_distraction', 'muslim_extremism', 'narcotic_traffic', 'regional_instability', 'sept_attack', 'spread_weapon_mass', 'terror_network', 'terrorism_extremism', 'terrorist_activity', 'terrorist_attack', 'terrorist_network', 'war_terror']  New: ['antiterrorism_strategy', 'bid_salvage', 'bold_stroke', 'compile_interagency', 'considerable_difficulty', 'consume_energy', 'criticize_imprecise_speculative', 'danger_inaction', 'ed_republican_strategist', 'effectively_counter', 'explain_understood', 'integral_part_broad', 'iraq_detract', 'linchpin_effort', 'major_restructuring', 'preserve_flexibility', 'profound_diversion', 'undermine_ongoing', 'unnecessary_costly']
20010911-2019 | terrorist | CBOW                    Overlap: 20/25  Jaccard: 0.67  Dropped: ['al_qaeda_cell', 'al_qaeda_operative', 'extremist_group', 'osama_bin_laden_network', 'qaeda_member']  New: ['aryan', 'detect_disrupt', 'global_terrorism', 'muslim_extremist', 'terrorists']
20010911-2019 | terrorist | SkipGram                Overlap:  7/25  Jaccard: 0.16  Dropped: ['abdullah_mohammed', 'al_qaeda_sympathizer', 'attack', 'bin_laden_operative', 'financial_logistical', 'los_angeles_airport', 'millennium_celebration', 'outlaw_regime', 'pose_imminent', 'possess_weapon', 'radiological_material', 'sept_hijacking', 'sleeper_cell', 'terror_attack', 'terrorist_activity', 'terrorist_cell', 'terrorist_organization', 'terrorists']  New: ['administration_evidence_scanty', 'aryan', 'associated_al_qaeda', 'bly_oregon', 'brutalize_torture', 'cold_blood_killer', 'gravest_danger', 'homegrown_extremist', 'keenly_interested', 'lone_extremist', 'prudent_step', 'requirement_collector', 'shopping_center_supermarket', 'sleeper_agent', 'sustain_systematic', 'tobe', 'trove_information', 'wherever_hide']

======================================================================
OVERALL: Mean overlap = 13.5/25, Mean Jaccard = 0.40, Min overlap = 3/25
